Unit_Name,No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,Tower,Total_Facilities,Currency,Annual_Price
Kuningan City (Denpasar Residence) 2BR View City,2,2,Kuningan,Jakarta Selatan,106.829196,-6.224797,1,90,Tower Kintamani,24,IDR,204000000
Puri Mansion  2BR Non Furnished,2,1,Puri Indah,Jakarta Barat,106.728591,-6.182729,0,49,Tower Amaytis,10,IDR,70000000
Taman Anggrek Residences 2BR Semi Furnished Calypso,2,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,0,50,Tower Calypso,7,IDR,60000000
Taman Anggrek Condominium Apartment 3BR Semi Furnished,3,2,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,0,146,Tower 8,22,IDR,180000000
Taman Anggrek Residence 2BR Tower Beech,2,2,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,99,Tower Beech,15,IDR,240000000
Soho Pancoran Apartment 3BR View South,3,2,Pancoran,Jakarta Selatan,106.845254,-6.242801,1,132,Tower Esplendor,20,IDR,210000000
Mediterania Garden Residence 2 2BR Fully Furnished,2,1,Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,42,Tower H,24,IDR,55000000
Soho Pancoran Apartment 2BR View City,2,2,Pancoran,Jakarta Selatan,106.845254,-6.242801,0,97,Tower 1,14,IDR,336000000
Puri Park View Apartment 2BR Fully Furnished,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,35,Tower B,20,IDR,39000000
Menteng Square Apartment 2BR View City,2,1,Menteng,Jakarta Pusat,106.851858,-6.200232,1,30,Tower C,20,IDR,44000000
Kota Ayodhya Apartment 2BR Tower Indigo,2,1,Cikokol,Tangerang,106.629106,-6.199893,1,41,Tower Indigo,21,IDR,35000000
Puri Orchard Apartment Studio Tower Orange Groove,0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,26,Tower Orange Groove,20,IDR,41000000
Kebagusan City Apartment Studio View City & Pool,0,1,Kebagusan,Jakarta Selatan,106.835418,-6.307531,0,27,Tower B,21,IDR,36000000
Elpis Residences Apartment 2BR View city,2,1,Gunung Sahari,Jakarta Pusat,106.836638,-6.148474,0,42,Tower C,16,IDR,40000000
Ciputra World 2 Apartment 2BR Tower The Orchard,2,2,Kuningan,Jakarta Selatan,106.820139,-6.221259,1,104,Tower The Orchard,22,IDR,204000000
Puri Park Residence 2BR Fully Furnished,2,2,Puri Indah,Jakarta Barat,106.750974,-6.1887,1,88,Tower Cedar 2,22,IDR,150000000
Taman Anggrek Condominium Apartment 2BR  Furnished,2,2,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,1,99,Tower Azalea,22,IDR,140000000
Essence Darmawangsa Apartment 3+1BR Fully Furnished,3,3,Dharmawangsa,Jakarta Selatan,106.804426,-6.258746,1,166,Tower South,22,IDR,336000000
MOI City Home 2BR Fully Furnished,2,1,Kelapa Gading,Jakarta Utara,106.890391,-6.149836,1,42,Tower Santa Monica,24,IDR,65000000
Puncak Kertajaya Apartment 2BR Non Furnished,2,1,Pakuwon City,Surabaya,112.7873,-7.2876,0,36,Tower A,11,IDR,23000000
Sudirman Mansion Apartment 3BR Tower 1,3,2,Sudirman,Jakarta Selatan,106.805571,-6.226071,1,175,Tower 1,21,IDR,405000000
Beverly Tower Apartment 2BR Fully Furnished,2,2,Cilandak,Jakarta Selatan,106.786534,-6.291102,1,85,Tower B,22,IDR,187150000
The Nest Apartment 2BR Semi Furnished,2,1,Karang Tengah,Tangerang,106.723973,-6.195343,0,44,Tower D,18,IDR,45000000
ST Moritz Apartment 2BR View Selatan,2,2,Puri Indah,Jakarta Barat,106.73873,-6.190723,1,88,Tower Royal,23,IDR,155000000
The Royale SpringHill Residence 3BR Tower Lavender,3,2,Kemayoran,Jakarta Pusat,106.85069,-6.146146,1,196,Tower Lavender,22,IDR,330050000
MOI Frenchwalk 2BR View Pool (Utara),2,1,Kelapa Gading,Jakarta Utara,106.89144,-6.149391,1,83,Tower Lion,21,IDR,100000000
Kalibata City Apartment 2BR View City,2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,0,33,Tower Cendana,21,IDR,40000000
Puri Orchard Apartment Studio View City,0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,26,Tower CH A,19,IDR,37000000
Hamptons Park Apartment 2BR Fully Furnished,2,2,Pondok Indah,Jakarta Selatan,106.791409,-6.282965,1,82,Tower C,24,IDR,216000000
Metro Park Residence 2BR Non Furnished,2,1,Kedoya,Jakarta Barat,106.757651,-6.186415,0,53,Tower Milan,16,IDR,42000000
Elpis Residences Apartment 2BR Tower C,2,1,Gunung Sahari,Jakarta Pusat,106.836638,-6.148474,1,41,Tower C,21,IDR,65000000
Taman Anggrek Residence Studio Fully Furnished,0,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,26,Tower Daffodil,13,IDR,49000000
Park Royal Apartment 1BR View City,1,1,Gatot Subroto,Jakarta Pusat,106.80924,-6.213072,1,63,Tower 3,22,IDR,150000000
Puri Orchard Apartment 1BR Tower Orange Grove Blok B,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,35,Tower Orange Grove Blok B,18,IDR,33000000
Mediterania Gajah Mada Apartment 1BR View City,1,1,Gajah Mada,Jakarta Barat,106.815297,-6.149237,0,33,Tower B,12,IDR,35000000
City Light Apartment 2BR View City,2,1,Ciputat,Tangerang,106.752698,-6.311949,1,35,Tower Putri,20,IDR,37500000
Gading Icon Apartment 1BR View CITY VIEW,1,1,Kelapa Gading,Jakarta Timur,106.904441,-6.181255,1,36,Tower C,20,IDR,25000000
Taman Anggrek Residence 3BR Tower F,3,2,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,0,65,Tower F,7,IDR,75000000
Casablanca East Residence 2BR Fully Furnished,2,1,Pondok Bambu,Jakarta Timur,106.89933,-6.224079,1,43,Tower Dallas,20,IDR,51000000
Pakubuwono Terrace Studio Fully Furnished,0,1,Kebayoran Lama,Jakarta Selatan,106.769194,-6.237472,1,23,Tower North,20,IDR,45000000
Casablanca Mansion 2BR Fully Furnished,2,2,Casablanca,Jakarta Selatan,106.846292,-6.222918,1,50,Tower 1,23,IDR,132000000
1 Park Residences 2BR Fully Furnished,2,2,Gandaria,Jakarta Selatan,106.788904,-6.24568,1,91,Tower A,24,USD,19800
Botanica Apartment 3BR Non Furnished,3,3,Kebayoran Lama,Jakarta Selatan,106.789467,-6.232826,0,288,Tower 1,18,IDR,567000000
MOI City Home 2BR Fully Furnished,2,1,Kelapa Gading,Jakarta Utara,106.890391,-6.149836,1,45,Tower Miamy Bay,24,IDR,65000000
Sudirman Suites Apartment Bandung,0,1,Cicendo,Bandung,107.5813,-6.9162,1,23,Tower MAHOGANY,14,IDR,35000000
Tamansari Mahogany Apartment 2BR Fully Furnished,2,1,Pantura,Karawang,107.2711,-6.3394,1,48,Tower Tower 1,15,IDR,84000000
Essence Darmawangsa Apartment 3BR Fully Furnished,3,2,Dharmawangsa,Jakarta Selatan,106.804426,-6.258746,1,131,Tower Eminence,22,IDR,220800000
The Mansion Kemayoran Bougenville 1BR Tower Gloria,1,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,1,30,Tower Gloria,20,IDR,60000000
Bassura City Apartment 2BR View City,2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,1,35,Tower G,19,IDR,60000000
Parahyangan Residence 2BR View City,2,1,Ciumbuleuit,Bandung,107.6035,-6.8767,1,43,Tower Pangrango,14,IDR,70000000
Green Pramuka City Apartment 2BR View City & swimming pool,2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33,Tower Scarlet,21,IDR,67150000
Signature Park Grande 1BR Tower B,1,1,MT Haryono,Jakarta Timur,106.866201,-6.245201,1,37,Tower B,21,IDR,64800000
Pluit Sea View 2BR Semi Furnished,2,1,Pluit,Jakarta Utara,106.807122,-6.121077,0,35,Tower Maldives,21,IDR,28000000
Northland Ancol Residence 2BR View Swimming Pool,2,1,Ancol,Jakarta Utara,106.839363,-6.129877,0,42,Tower 1,15,IDR,26100000
Mediterania Gajah Mada Apartment 2BR Tower A,2,1,Gajah Mada,Jakarta Barat,106.815297,-6.149237,1,45,Tower A,18,IDR,52000000
Puri Park View Apartment 2BR Fully Furnished,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,35,Tower Aab,21,IDR,45000000
Bassura City Apartment 2BR Semi Furnished,2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,0,34,Tower E,18,IDR,75000000
Casablanca Mansion 2BR View City,2,1,Casablanca,Jakarta Selatan,106.846292,-6.222918,1,42,Tower 1,24,IDR,90000000
Menteng Park Studio View City,0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,28,Tower Diamond,22,IDR,72000000
Callia Apartment 1BR View Pool,1,1,Kelapa Gading,Jakarta Timur,106.89321,-6.175884,1,43,Tower 1,18,IDR,48000000
Bassura City Apartment 2BR Fully Furnished,2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,1,34,Tower Alamanda,20,IDR,57700000
Kalibata City Green Palace 2BR Fully Furnished,2,1,Kalibata,Jakarta Selatan,106.849866,-6.257697,1,36,Tower Tulip,24,IDR,61000000
Green Pramuka City Apartment 2BR Tower orcid,2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33,Tower Orchid,23,IDR,78000000
Puri Orchard Studio Full Furnished Tower CH,0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,26,Tower CH,15,IDR,35000000
Casa Grande Apartment 1BR Fully Furnished,1,1,Casablanca,Jakarta Selatan,106.842672,-6.224187,1,50,Tower Montreal,24,IDR,250000000
The Mansion Kemayoran Bougenville 2BR View selatan,2,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,1,52,Tower Gloria,21,IDR,60000000
Kedoya Elok Apartment 3BR Tower Utara,3,2,Kedoya,Jakarta Barat,106.767839,-6.188799,0,150,Tower Utara,21,IDR,117500000
ST Moritz Apartment 3BR View City,3,2,Puri Indah,Jakarta Barat,106.73873,-6.190723,1,112,Tower Royal,24,IDR,150000000
Grand Dhika City Apartment Studio Fully Furnished,0,1,Kalimalang,Bekasi,107.0197,-6.2621,1,24,Tower 1,11,IDR,36000000
ST Moritz Apartment 2BR Tower New Royal,2,1,Puri Indah,Jakarta Barat,106.73873,-6.190723,1,84,Tower New Royal,24,IDR,216000000
Signature Park Grande Studio Fully Furnished,0,1,MT Haryono,Jakarta Timur,106.866201,-6.245201,1,26,Tower The Light,20,IDR,54000000
Metro Park Residence Studio Fully Furnished,0,1,Kedoya,Jakarta Barat,106.757651,-6.186415,1,27,Tower Manhattan,21,IDR,37000000
Permata Senayan Apartment 2BR View city,2,1,Senayan,Jakarta Pusat,106.791301,-6.221632,1,98,Tower 1,21,IDR,72000000
Menteng Park Studio Fully Furnished,0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,28,Tower Diamond,22,IDR,65000000
Ambassade Residences 1BR Tower 1,1,1,Kuningan,Jakarta Selatan,106.831123,-6.222417,1,49,Tower 1,21,IDR,120000000
Mt Haryono Residence 2BR Tower 1,2,1,MT Haryono,Jakarta Timur,106.867963,-6.243129,1,30,Tower 1,20,IDR,40500000
Menteng Park Studio Murah,0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,28,Tower Diamond,16,IDR,54000000
Mediterania Garden Residence 2 2BR Fully Furnished,2,1,Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,42,Tower E,23,IDR,56000000
SkyView Apartment Studio Fully Furnished,0,1,BSD City,Tangerang,106.683509,-6.295373,1,24,Tower -,20,IDR,50000000
Aspen Residence Apartment 3BR Fully Furnished,3,1,Fatmawati,Jakarta Selatan,106.795392,-6.303504,1,83,Tower B,22,IDR,144000000
Akasa Pure Living Apartment Studio View Rumah penduduk,0,1,Serpong,Tangerang,106.682451,-6.293003,0,28,Tower Kirana,15,IDR,21000000
Puri Park View Apartment 2BR Fully Furnished,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,35,Tower AB,21,IDR,42000000
Gading Mediterania Residence 2BR Non Furnished,2,1,Kelapa Gading,Jakarta Utara,106.8944,-6.159513,0,37,Tower CA,19,IDR,35000000
Green Bay Pluit Apartment 2BR Tower C,2,1,Pluit,Jakarta Utara,106.778618,-6.109022,1,35,Tower C,22,IDR,38000000
Kuningan City (Denpasar Residence) 2BR Tower Ubud,2,1,Kuningan,Jakarta Selatan,106.829196,-6.224797,1,60,Tower Ubud,23,IDR,150000000
Madison Park 1BR Tower Mahogany,1,1,Tanjung Duren,Jakarta Barat,106.788741,-6.178919,1,30,Tower Mahogany,21,IDR,44000000
The Mansion Kemayoran Bougenville 2BR Tower E,2,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,0,60,Tower E,18,IDR,60000000
Gading Nias Apartment 2BR Fully Furnished,2,1,Kelapa Gading,Jakarta Utara,106.91636,-6.154352,1,36,Tower Dahlia,21,IDR,18900000
The Mansion Kemayoran Bougenville 2BR Fully Furnished,2,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,1,57,Tower G,22,IDR,59550000
U Residence Karawaci Studio Fully Furnished,0,1,Karawaci,Tangerang,106.607673,-6.228493,1,31,Tower 1,21,IDR,48000000
Kalibata City Apartment 2BR Fully Furnished,2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,36,Tower Raffles,22,IDR,75000000
Gading Icon Apartment 2BR Fully Furnished,2,1,Kelapa Gading,Jakarta Timur,106.904441,-6.181255,1,36,Tower C,20,IDR,25000000
Pakubuwono Terrace 2BR Fully Furnished,2,2,Kebayoran Lama,Jakarta Selatan,106.769194,-6.237472,1,49,Tower North,20,IDR,76000000
Mediterania Garden Residence 2 2BR Fully Furnished,2,1,Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,42,Tower G,23,IDR,55000000
Aspen Residence Apartment 2BR View Pool,2,2,Fatmawati,Jakarta Selatan,106.795392,-6.303504,1,54,Tower A,21,IDR,108000000
Sudirman Park Apartment 2BR Fully Furnished,2,1,Sudirman,Jakarta Pusat,106.818029,-6.205971,1,48,Tower A,23,IDR,84000000
U Residence Karawaci Studio Fully Furnished,0,1,Karawaci,Tangerang,106.607673,-6.228493,1,35,Tower 2,20,IDR,50000000
Senayan Residence 3BR View City,3,2,Senayan,Jakarta Selatan,106.794123,-6.222613,1,155,Tower 1,21,IDR,390600000
City Lofts Apartment 3BR Semi Furnished,3,3,Sudirman,Jakarta Pusat,106.818351,-6.208956,0,200,Tower -,18,IDR,480000000
The Mansion Kemayoran Jasmine 2BR Tower Bellavista,2,1,Kemayoran,Jakarta Pusat,106.854936,-6.147823,1,73,Tower Bellavista,19,IDR,87000000
U Residence Karawaci Studio Fully Furnished,0,1,Karawaci,Tangerang,106.607673,-6.228493,1,31,Tower 2,20,IDR,50000000
The Mansion Kemayoran Bougenville 1BR View Golf area,1,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,1,35,Tower Gloria,22,IDR,45000000
Puri Orchard Apartment Studio View City,0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,26,Tower CH,15,IDR,30000000
The Mansion Kemayoran Jasmine 1BR Tower Aurora,1,1,Kemayoran,Jakarta Pusat,106.854936,-6.147823,1,49,Tower Aurora,22,IDR,68250000
Cinere Bellevue Suites Apartment Studio Fully Furnished,0,1,Cinere,Depok,106.78239,-6.317404,1,22,Tower B,15,IDR,36000000
Taman Sari Semanggi Apartment Studio View Pool (Barat),0,1,Semanggi,Jakarta Selatan,106.819159,-6.226598,1,30,Tower B,23,IDR,66000000
Metro Park Residence Studio Fully Furnished,0,1,Kedoya,Jakarta Barat,106.757651,-6.186415,1,30,Tower Manhattan,21,IDR,40000000
Mediterania Marina Ancol Apartment 2BR Fully Furnished,2,1,Ancol,Jakarta Utara,106.82921,-6.128082,1,50,Tower B,20,IDR,45000000
Green Pramuka City Apartment 2BR Fully Furnished,2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33,Tower Magnolia,20,IDR,57000000
Springhill Terrace Residence 3BR Fully Furnished,3,2,Kemayoran,Jakarta Pusat,106.850107,-6.14907,1,100,Tower Sandalwood,14,IDR,90000000
Belmont Residence Studio Tower Everest,0,1,Kebon Jeruk,Jakarta Barat,106.762396,-6.200106,1,21,Tower Everest,17,IDR,50000000
Grand Kartini Apartment Studio Fully Furnished,0,1,Mangga Besar,Jakarta Pusat,106.834047,-6.149718,1,25,Tower -,19,IDR,50000000
Kalibata City Apartment 2BR Fully Furnished,2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,33,Tower Kemuning,22,IDR,42000000
Taman Anggrek Residence 1BR Tower Calypso,1,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,0,38,Tower Calypso,10,IDR,60000000
Roseville SOHO & Suites Studio Fully Furnished,0,1,BSD City,Tangerang,106.664,-6.2944,1,28,Tower East,13,IDR,45000000
Park View Condominium Studio Semi Furnished,0,1,Margonda,Depok,106.8318,-6.3722,0,30,Tower 1,15,IDR,27600000
Springhill Terrace Residence 2BR Tower SandalWood,2,2,Kemayoran,Jakarta Pusat,106.850107,-6.14907,1,60,Tower SandalWood,14,IDR,85000000
Bassura City Apartment 2BR Fully Furnished,2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,1,35,Tower A,19,IDR,66000000
Residences 8 Senopati 1BR,1,1,Senopati,Jakarta Selatan,106.806005,-6.228974,1,102,Tower 3,14,IDR,288000000
Sunter Park View Apartment 2BR Fully Furnished,2,1,Sunter,Jakarta Utara,106.88373,-6.157527,1,35,Tower BC,20,IDR,37900000
Capitol Suites Apartment 1BR Tower 1,1,1,Menteng,Jakarta Pusat,106.838974,-6.180433,1,36,Tower 1,23,IDR,100000000
Bintaro Park View 2BR View City,2,1,Bintaro,Jakarta Selatan,106.759213,-6.258118,1,36,Tower A,20,IDR,60000000
Setiabudi Sky Garden 2BR Fully Furnished,2,2,Setiabudi,Jakarta Selatan,106.828806,-6.215463,1,93,Tower Sky garden,24,IDR,288000000
Puri Orchard Apartment 1BR View City,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,35,Tower Orange Grove,15,IDR,38000000
Kebagusan City Apartment 1BR View City,1,1,Kebagusan,Jakarta Selatan,106.835418,-6.307531,1,28,Tower Royal (Tower B),23,IDR,39000000
MOI Frenchwalk 2BR View City,2,2,Kelapa Gading,Jakarta Utara,106.89144,-6.149391,1,83,Tower Lyon Garden,22,IDR,110000000
Maqna Residence 3+1BR Non Furnished,3,3,Kebon Jeruk,Jakarta Barat,106.761852,-6.196997,0,138,Tower -,13,IDR,120000000
Kalibata City Green Palace 2BR Tower Nusa Indah,2,1,Kalibata,Jakarta Selatan,106.849866,-6.257697,0,35,Tower Nusa Indah,18,IDR,48000000
Kebagusan City Apartment Studio Tower Chrysant,0,1,Kebagusan,Jakarta Selatan,106.835418,-6.307531,1,21,Tower Chrysant,22,IDR,28000000
Wisma Gading Permai 2BR Tower B,2,1,Kelapa Gading,Jakarta Utara,106.900954,-6.168483,1,46,Tower B,19,IDR,34000000
Signature Park Grande 2BR Fully Furnished,2,1,MT Haryono,Jakarta Timur,106.866201,-6.245201,1,43,Tower Light,20,IDR,85000000
The Nest Apartment Studio Fully Furnished,0,1,Karang Tengah,Tangerang,106.723973,-6.195343,1,27,Tower D,14,IDR,30000000
Bassura City Apartment 2BR Fully Furnished,2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,1,34,Tower -,20,IDR,52750000
Kuningan City (Denpasar Residence) 1BR Fully Furnished,1,1,Kuningan,Jakarta Selatan,106.829196,-6.224797,1,48,Tower Ubud,23,IDR,168000000
Mediterania Boulevard Kemayoran 2BR Fully Furnished,2,1,Kemayoran,Jakarta Pusat,106.851642,-6.15528,1,45,Tower South,21,IDR,44000000
Sudirman Park Apartment 2BR Fully Furnished,2,1,Sudirman,Jakarta Pusat,106.818029,-6.205971,1,62,Tower Amarilis,23,IDR,80000000
MOI City Home 2BR Tower SFB,2,1,Kelapa Gading,Jakarta Utara,106.890391,-6.149836,1,45,Tower SFB,24,IDR,60000000
Puri Park View Apartment 2BR Semi Furnished,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,0,35,Tower AA,16,IDR,28000000
Taman Anggrek Residence 1BR Fully Furnished,1,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,28,Tower Espiritu,13,IDR,65250000
Pakubuwono Terrace 2BR Fully Furnished,2,1,Kebayoran Lama,Jakarta Selatan,106.769194,-6.237472,1,38,Tower N,20,IDR,75600000
19 Avenue Apartment Studio View Pool,0,1,Daan Mogot,Tangerang,106.6809,-6.1615,0,21,Tower A,12,IDR,24000000
Thamrin Residence Apartment 1BR Tower B,1,1,Thamrin,Jakarta Pusat,106.816842,-6.197352,1,41,Tower B,24,IDR,102000000
Season City Apartment 2BR Tower B,2,1,Grogol,Jakarta Barat,106.796056,-6.153652,1,55,Tower B,20,IDR,60000000
Mediterania Garden Residence 1 2BR Tower B,2,1,Tanjung Duren,Jakarta Barat,106.788342,-6.174634,1,40,Tower B,19,IDR,34000000
Mediterania Garden Residence 1 2BR Fully Furnished,2,1,Tanjung Duren,Jakarta Barat,106.788342,-6.174634,1,40,Tower Bougenville,21,IDR,40000000
Puri Orchard Apartment 1BR View pool,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,35,Tower CH,20,IDR,70000000
Royal Olive Residence 1BR Tower 1,1,1,Pejaten,Jakarta Selatan,106.830173,-6.276866,1,35,Tower 1,22,IDR,78000000
Thamrin Residence Apartment 1BR Fully Furnished,1,1,Thamrin,Jakarta Pusat,106.816842,-6.197352,1,42,Tower Bougenville,24,IDR,80000000
Westmark Apartment 1BR Fully Furnished,1,1,Tanjung Duren,Jakarta Barat,106.793682,-6.180334,1,37,Tower 1,20,IDR,58000000
Sunter Park View Apartment 2BR Tower B,2,1,Sunter,Jakarta Utara,106.88373,-6.157527,1,35,Tower B,20,IDR,30000000
Signature Park Grande Studio Tower green,0,1,MT Haryono,Jakarta Timur,106.866201,-6.245201,1,25,Tower green,18,IDR,50000000
The Breeze Bintaro Apartment Studio Fully Furnished,0,1,Bintaro,Jakarta Selatan,106.7422,-6.2737,1,23,Tower -,15,IDR,60000000
Puri Orchard Apartment Studio View pool,0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,23,Tower Orange groove,19,IDR,33750000
